mere,単に。ただ、単なる。,たんに。ただ、たんなる。
optimize,最適化する。システムやプロセスの効率を最大限に高めること。,さいてきかする。しすてむやぷろせすのこうりつをさいだいげんにたかめること。
synthetic,人工的な、合成の,じんこうてきな、ごうせいの
aviation,航空、航空機の運営や技術。,こうくう、こうくうきのうんえいやぎじゅつ。
continual,途切れなく続く様子。,とぎれなくつづくようす。
confess,内心を打ち明ける。,ないしんをうちあける。
spoilage,腐敗、劣化、損傷,ふはい、れっか、そんしょう
courageous,勇敢な、度胸のある,ゆうかんな、どきょうのある
proportion,全体に対する割合。,ぜんたいにたいするわりあい。
head,頭、物事の先頭部分。,あたま、ものごとのせんとうぶぶん。
every,毎～。すべての、毎回のという意味を表す。,まい~。すべての、まいかいのといういみをあらわす。
justify,理由を述べて正当化する。,りゆうをのべてせいとうかする。
located,ある場所に位置する。ある場所にあることを表す。,あるばしょにいちする。あるばしょにあることをあらわす。
expecting,期待を抱いている状態。,きたいをだいているじょうたい。
haul,物を運搬する行為。,ものをうんぱんするこうい。
willingness,意欲、積極性、自発性,いよく、せっきょくせい、じはつせい
lovely,見た目や雰囲気が美しい。,みためやふんいきがうつくしい。
patient,患者、病人。医療機関で治療を受ける人。また、「忍耐強い」という形容詞としても使用。,かんじゃ、びょうにん。いりょうきかんでちりょうをうけるにん。また、「にんたいつよい」というけいようしとしてもしよう。
perimeter,形状の周囲、境界線。,けいじょうのしゅうい、きょうかいせん。
classical,古典的な。古くから受け継がれている形式や、伝統的な価値を持つものを指します。,こてんてきな。ふるくからうけつがれているけいしきや、でんとうてきなかちをもつものをさします。
trustworthy,信用できる、頼りになる,しんようできる、たよりになる
laptop,ノートパソコン。持ち運びが可能な小型の個人用コンピュータを指します。,のーとぱそこん。もちはこびがかのうなこがたのこじんようこんぴゅーたをさします。
direction,物事の進行や目標を定めるための方向や指針。,ものごとのしんこうやもくひょうをさだめるためのほうこうやししん。
athletic,スポーツに関連する。,すぽーつにかんれんする。
resolution,解決、決意、解像度,かいけつ、けつい、かいぞうど
quite,かなり、相当。程度を表す副詞で、veryよりもやや控えめな表現。,かなり、そうとう。ていどをあらわすふくしで、veryよりもややひかえめなひょうげん。
stimulus,刺激、励み,しげき、はげみ
fiscal deficit,財政赤字。政府の歳出が歳入を上回る状態。,ざいせいあかじ。せいふのさいしゅつがさいにゅうをうわまわるじょうたい。
amid,〜の中で、〜の最中に,〜のなかで、〜のさいちゅうに
tentative,暫定的な、試験的な,ざんていてきな、しけんてきな
million,百万、あるいは非常に多い数の単位。,ひゃくまん、あるいはひじょうにおおいかずのたんい。
absurd,理性では理解できないこと。,りせいではりかいできないこと。
significant,重要な、意味のある。注目に値する、または統計的に有意な。,じゅうような、いみのある。ちゅうもくにあたいする、またはとうけいてきにゆういな。
mentoring,助言や指導を行うこと。,じょげんやしどうをおこなうこと。
aware,知っている、認識している、気づいている。,しっている、にんしきしている、きづいている。
attorney,弁護士、検事、代理人,べんごし、けんじ、だいりにん
pronunciation,発音、発声方法,はつおん、はっせいほうほう
neglect,放置する、無視する,ほうちする、むしする
endure,耐え忍ぶ、持ちこたえる,たえしのぶ、もちこたえる
inhabitant,住民、居住者,じゅうみん、きょじゅうしゃ
scramble,急いで動く、争って取る,いそいでうごく、あらそってとる
diplomatic ties,外交関係。国家間の正式な関係を指す。,がいこうかんけい。こっかかんのせいしきなかんけいをさす。
metal,金属、金属製の,きんぞく、きんぞくせいの
theoretical,理論的な、理論上の,りろんてきな、りろんじょうの
discover,発見する、見つける。新しいものや事実を見出すこと。,はっけんする、みつける。あたらしいものやじじつをみだすこと。
sensitive,敏感な、繊細な。外部の刺激に対して反応しやすい状態。,びんかんな、せんさいな。がいぶのしげきにたいしてはんのうしやすいじょうたい。
editorial,社説の、あるいは編集の。新聞や雑誌の見解を示す記事や、編集に関することを指します。,しゃせつの、あるいはへんしゅうの。しんぶんやざっしのけんかいをしめすきじや、へんしゅうにかんすることをさします。
shortage,欠品。必要なものが十分にない状態。不足していること。,けっぴん。ひつようなものがじゅうぶんにないじょうたい。ふそくしていること。
object,物、または目的。特定の形を持つ物質的なものや、達成しようとする目標を指します。,もの、またはもくてき。とくていのかたちをもつぶっしつてきなものや、たっせいしようとするもくひょうをさします。
least,最も少ない、最小の。at least(少なくとも)、the least expensive(最も安価な)など。,もっともすくない、さいしょうの。at least(すくなくとも)、the least expensive(もっともあんかな)など。
rough,表面がごつごつした、粗い状態。,ひょうめんがごつごつした、あらいじょうたい。
reduced,削減した、少なくした。,さくげんした、すくなくした。
horizontal,水平な、横方向の,すいへいな、よこほうこうの
generate,新たに生み出すこと。,あらたにうみだすこと。
annual,毎年の、年1回の、1年生の。,まいとしの、ねん1かいの、1ねんせいの。
flame,炎、情熱,ほのお、じょうねつ
overcome,克服する。困難な状況を乗り越える。,こくふくする。こんなんなじょうきょうをのりこえる。
ceiling,天井、上限,てんじょう、じょうげん
decade,10年間。連続する10年の期間を指す時間の単位。,10ねんかん。れんぞくする10ねんのきかんをさすじかんのたんい。
work out,解決する。,かいけつする。
scholar,知識を持つ学問的な人。,ちしきをもつがくもんてきなにん。
fable,教訓を含んだ寓話や作り話。,きょうくんをふくんだぐうわやつくりはなし。
work on,取り組む。,とりくむ。
necessarily,必ずしも、必然的に。,かならずしも、ひつぜんてきに。
accurate,正確な、誤りがない。細部まで正しく、誤差のないことを指します。,せいかくな、あやまりがない。さいぶまでただしく、ごさのないことをさします。
load,積み荷、運ぶもの。,つみに、はこぶもの。
still,まだ、それでも、やはり,まだ、それでも、やはり
valley,山と山の間の低地、渓谷、谷間。,やまとやまのまのていち、けいこく、たにま。
acclaim,賞賛する、称える,しょうさんする、となえる
trend,流行や動向を示す。,りゅうこうやどうこうをしめす。
pitfall,落とし穴、危険、罠,おとしあな、きけん、わな
weigh,重さを量る、重みがある,おもさをはかる、おもみがある
weaken,力や効果を弱める、低下させること。,ちからやこうかをよわめる、ていかさせること。
interpretation,意味や意図を解釈。,いみやいとをかいしゃく。
supply,供給する、提供する。必要なものを用意して与えること。,きょうきゅうする、ていきょうする。ひつようなものをよういしてあたえること。
grand,大きな、壮大な。規模や重要性が非常に大きいこと。,おおきな、そうだいな。きぼやじゅうようせいがひじょうにおおきいこと。
overtime,残業、超過勤務,ざんぎょう、ちょうかきんむ
venue,会場、開催地、現場,かいじょう、かいさいち、げんば
addendum,追加、文書や報告書への付録や補足。,ついか、ぶんしょやほうこくしょへのふろくやほそく。
loyal,常に信頼できる忠実さ。,つねにしんらいできるちゅうじつさ。
The required documents are attached to this email.,必要な書類はこのメールに添付されています。,ひつようなしょるいはこのめーるにてんぷされています。
department,部門、課。会社の組織単位。,ぶもん、か。かいしゃのそしきたんい。
ongoing,継続中の、進行中の,けいぞくちゅうの、しんこうちゅうの
exhaust,完全に疲れさせる。,かんぜんにつかれさせる。
progressive,革新的な、進歩的な考え方。,かくしんてきな、しんぽてきなかんがえかた。
beyond,～を超えて。それ以上に遠い範囲や限界を超える状態を指します。,~をこえて。それいじょうにとおいはんいやげんかいをこえるじょうたいをさします。
notify,通知する、知らせる。,つうちする、しらせる。
language,言語、人が考えや情報を伝えるための手段。音声、文字、またはその他の記号を使用する表現方法です。,げんご、にんがかんがえやじょうほうをつたえるためのしゅだん。おんせい、もじ、またはそのほかのきごうをしようするひょうげんほうほうです。
honest,正直な、誠実な、まじめな,しょうじきな、せいじつな、まじめな
pleased,喜んでいる、または満足している状態。,よろこんでいる、またはまんぞくしているじょうたい。
comet,彗星、ほうき星,すいせい、ほうきほし
recommend,お勧めする、推薦する。良いと思うものを他者に勧めること。,おすすめする、すいせんする。よいとおもうものをたしゃにすすめること。
expression,表情、表現方法,ひょうじょう、ひょうげんほうほう
wasteful,浪費的な、無駄の多い,ろうひてきな、むだのおおい
weekly,毎週または週ごとに発行される、週刊。,まいしゅうまたはしゅうごとにはっこうされる、しゅうかん。
weapon,戦闘用の武器、兵器,せんとうようのぶき、へいき
expect,起こることを予測する、または待ち望む。,おこることをよそくする、またはまちのぞむ。
complexity,複雑さ、込み入った状態,ふくざつさ、こみいっったじょうたい
merely,単に、ただ。それだけで他には何もないこと。,たんに、ただ。それだけでほかにはなにもないこと。
technology,テクノロジー、科学技術。,てくのろじー、かがくぎじゅつ。
either,いずれか、どちらか。二つの選択肢のうちの一方を指す言葉。,いずれか、どちらか。ふたつのせんたくしのうちのいっぽうをさすことば。
issue,問題、または課題。解決が求められる重要な事柄やトピックを指します。,もんだい、またはかだい。かいけつがもとめられるじゅうようなことがらやとぴっくをさします。
executive,幹部や経営陣。企業や組織の管理を行う上位職にいる人々を指します。,かんぶやけいえいじん。きぎょうやそしきのかんりをおこなうじょういしょくにいるひとびとをさします。
grant,助成金、または報奨金。特定の目的のために与えられる資金や報酬です。,じょせいきん、またはほうしょうきん。とくていのもくてきのためにあたえられるしきんやほうしゅうです。
emblem,象徴、シンボルとしての。,しょうちょう、しんぼるとしての。
charge,責任や非難、または料金として請求すること。,せきにんやひなん、またはりょうきんとしてせいきゅうすること。
register,登録する、記録する,とうろくする、きろくする
tutorial,教育目的の家庭教師や指導内容。,きょういくもくてきのかていきょうしやしどうないよう。
look forward to,楽しみにする。,たのしみにする。
arbitration,第三者による紛争解決。,だいさんしゃによるふんそうかいけつ。
entry,入り口、参加、記入,いりぐち、さんか、きにゅう
conserve,資源やエネルギーを保存する。,しげんやえねるぎーをほぞんする。
submit,提出する。書類や申請を上司や担当者などに差し出すことを意味します。,ていしゅつする。しょるいやしんせいをじょうしやたんとうしゃなどにさしだすことをいみします。
Annually,毎年、年1回の,まいとし、ねん1かいの
syndrome,症候群、一連の症状の集合。,しょうこうぐん、いちれんのしょうじょうのしゅうごう。
concise,簡潔な、無駄がない表現。,かんけつな、むだがないひょうげん。
coincidence,偶然、一致,ぐうぜん、いっち
betrayal,裏切り、反逆,うらぎり、はんぎゃく
confidential,機密の。第三者に知られてはならない、秘密にしておくべき情報を指します。,きみつの。だいさんしゃにしられてはならない、ひみつにしておくべきじょうほうをさします。
incentive,動機、促進する要因。,どうき、そくしんするよういん。
ideal,理想的な、完璧な、模範的な。,りそうてきな、かんぺきな、もはんてきな。
division,部門、区分。組織や概念を分ける単位。,ぶもん、くぶん。そしきやがいねんをわけるたんい。
convert,形や状態を変える。,かたちやじょうたいをかえる。
take action,行動を起こす。,こうどうをおこす。
wheat,食用の穀物。,しょくようのこくもつ。
periodical,一定の周期で発行されるもの、定期刊行物。,いっていのしゅうきではっこうされるもの、ていきかんこうぶつ。
impressed,強く感銘を受けた様子,つよくかんめいをうけたようす
crisis,深刻な問題や状況。,しんこくなもんだいやじょうきょう。
resources,資源、資産、財源,しげん、しさん、ざいげん
accountancy,会計業務、経理専門職,かいけいぎょうむ、けいりせんもんしょく
minister,政府の大臣職。,せいふのだいじんしょく。
dictate,命令する、口述する,めいれいする、こうじゅつする
finance,財務、金融、財政。,ざいむ、きんゆう、ざいせい。
shift,状況や位置の変化、または変えること。,じょうきょうやいちのへんか、またはかえること。
cling,しがみつく、執着する,しがみつく、しゅうちゃくする
receivables,未回収の売掛金等,みかいしゅうのうりかけきんなど
satisfied,満足した、納得した。望みや期待が満たされた状態。,まんぞくした、なっとくした。のぞみやきたいがみたされたじょうたい。
accept,受け入れる、承諾する。提案や申し出を了承すること。,うけいれる、しょうだくする。ていあんやもうしでをりょうしょうすること。
gain,を得る、利益を獲得。,をえる、りえきをかくとく。
pupil,生徒、瞳孔,せいと、どうこう
outlet,出口、放出する場所。,でぐち、ほうしゅつするばしょ。
introductory,入門用の、導入の,にゅうもんようの、どうにゅうの
recent,最近、ここ数ヶ月や数年間を指し、現在に近い過去を表します。,さいきん、ここすうかげつやすうねんかんをさし、げんざいにちかいかこをあらわします。
eligible,資格のある。条件を満たしているために、特定の権利や役割を得られることを意味します。,しかくのある。じょうけんをみたしているために、とくていのけんりややくわりをえられることをいみします。
secure,安全な、確実な。危険や不安のない状態。また、確保するという動詞としても。,あんぜんな、かくじつな。きけんやふあんのないじょうたい。また、かくほするというどうしとしても。
sweep,掃除する、掃く。ほうきなどで床や地面を清掃すること。,そうじする、はく。ほうきなどでとこやじめんをせいそうすること。
back-propagation,誤差逆伝播。ニューラルネットワークの学習アルゴリズムの一つ。,ごさぎゃくでんぱ。にゅーらるねっとわーくのがくしゅうあるごりずむのひとつ。
bureau,事務局、書類を保管するたんす。,じむきょく、しょるいをほかんするたんす。
if,もし～ならば。条件を示す言葉で、「もし～という条件が成り立つならば」という意味です。,もし~ならば。じょうけんをしめすことばで、「もし~というじょうけんがなりたつならば」といういみです。
favorable,好ましい、有利な。望ましい状態や条件であること。,このましい、ゆうりな。のぞましいじょうたいやじょうけんであること。
equip,に備え付ける、必要な道具や設備を提供する。,にそなえつける、ひつようなどうぐやせつびをていきょうする。
unfortunately,不運にも、残念ながら。望ましくない状況を表現する際に使用。,ふうんにも、ざんねんながら。のぞましくないじょうきょうをひょうげんするさいにしよう。
revolution,根本的な変革や動乱。,こんぽんてきなへんかくやどうらん。
rely,他者に頼ること、信じること。,たしゃにたよること、しんじること。
The museum will exhibit famous paintings by Picasso.,美術館はピカソの有名な絵画を展示します。,びじゅつかんはぴかそのゆうめいなかいがをてんじします。
patent,特許、特許権、発明権。,とっきょ、とっきょけん、はつめいけん。
poll,有権者の意見調査。,ゆうけんしゃのいけんちょうさ。
situation,状況、特定の時や場所における情勢。,じょうきょう、とくていのときやばしょにおけるじょうせい。
floor-to-ceiling,天井までの高さ。,てんじょうまでのたかさ。
institute,研究や教育を行う所。,けんきゅうやきょういくをおこなうところ。
disabled,機能が制限されている。,きのうがせいげんされている。
chronicle,歴史的出来事を記録。,れきしてきできごとをきろく。
dominate,支配・影響を持つ。,しはい・えいきょうをもつ。
pertain,関係する、所属する、当てはまる,かんけいする、しょぞくする、あてはまる
perceive,知覚する、認める。五感や直感を使って何かを認識したり、理解すること。,ちかくする、みとめる。ごかんやちょっかんをつかってなにかをにんしきしたり、りかいすること。
believe,信じる、確信する。I believe that...(～と思う),しんじる、かくしんする。I believe that...(~とおもう)
predict,を予想する、予測する。,をよそうする、よそくする。
settle,解決する、定住する、決済する,かいけつする、ていじゅうする、けっさいする
opt,選択する、決定する,せんたくする、けっていする
plaintiff,原告、訴訟提起者,げんこく、そしょうていきもの
bond,絆、結びつき、債券,きずな、むすびつき、さいけん
coalition,連立、連合体,れんりつ、れんごうたい
bulk,大量、かさ、容積,たいりょう、かさ、ようせき
obedience,従順さ、服従,じゅうじゅんさ、ふくじゅう
ash,灰、燃焼後の残骸。,はい、ねんしょうのちのざんがい。
ward,区画、病棟、被後見人,くかく、びょうとう、ひこうけんにん
compensation,補償、賠償。損失や被害に対する埋め合わせ。,ほしょう、ばいしょう。そんしつやひがいにたいするうめあわせ。
remarked,何かを言ったり、指摘したこと。,なにかをいったり、してきしたこと。
relocate,移転させる、移動させる。,いてんさせる、いどうさせる。
item,項目、商品。リストの中のひとつひとつ、または販売されている商品。,こうもく、しょうひん。りすとのなかのひとつひとつ、またははんばいされているしょうひん。
verbal,言葉による、口頭の,ことばによる、こうとうの
feedback,反応や意見のこと。,はんのうやいけんのこと。
troop,軍隊、集団,ぐんたい、しゅうだん
crowded,混雑した。人や物が一か所に集まり過ぎている状態を意味します。,こんざつした。にんやものがいちかところにあつまりすぎているじょうたいをいみします。
consideration,考慮、配慮、思いやり,こうりょ、はいりょ、おもいやり
fund-raising,募金活動、資金集め,ぼきんかつどう、しきんあつめ
logical,論理的な、合理的な、筋の通った。,ろんりてきな、ごうりてきな、すじのかよった。
defy,反抗する、挑戦する,はんこうする、ちょうせんする
funeral,葬儀、葬式、告別式,そうぎ、そうしき、こくべつしき
appliance,家電、電化製品。家庭で使用する電気機器全般。,かでん、でんかせいひん。かていでしようするでんきききぜんぱん。
hard-to-reach,到達が難しい場所。,とうたつがむずかしいばしょ。
complication,合併症、複雑な問題,がっぺいしょう、ふくざつなもんだい
address,住所、または郵便や通信の送り先。特定の場所を指すものです。,じゅうしょ、またはゆうびんやつうしんのおくりさき。とくていのばしょをさすものです。
instrument,楽器、機器、道具。音楽を奏でる道具や、専門的な作業に使用する機械。,がっき、きき、どうぐ。おんがくをかなでるどうぐや、せんもんてきなさぎょうにしようするきかい。
individual,個々の、または個人。特定の一人一人を指す場合や、単独であることを指します。,ここの、またはこじん。とくていのひとりひとりをさすばあいや、たんどくであることをさします。
subsidiary,親会社の子会社。,おやがいしゃのこがいしゃ。
prosper,繁栄し、成功する。,はんえいし、せいこうする。
revised,改訂した、修正した、見直した,かいていした、しゅうせいした、みなおした
merchandise,商品、商材。販売のための品物全般。,しょうひん、しょうざい。はんばいのためのしなものぜんぱん。
grief,深い悲しみ、喪失感,ふかいかなしみ、そうしつかん
offend,怒らせる、気分を害する,いからせる、きぶんをがいする
contain,を含む。中に物がはいっている状態や、成分が含まれていることを指します。,をふくむ。なかにものがはいっているじょうたいや、せいぶんがふくまれていることをさします。
murder,殺人、意図的に殺す,さつじん、いとてきにころす
exactly,正確に、寸分違わずに。細部にいたるまで正しい状態を示します。,せいかくに、すんぶんちがわずに。さいぶにいたるまでただしいじょうたいをしめします。
collaborate,共同作業する,きょうどうさぎょうする
decision,決定、判断を下すプロセスや、最終的に選ばれた結論。,けってい、はんだんをくだすぷろせすや、さいしゅうてきにえらばれたけつろん。
regain,回復する、取り戻す,かいふくする、とりもどす
courage,勇気、精神的強さ,ゆうき、せいしんてきつよさ
dare,敢えて～する、挑戦する,あえて~する、ちょうせんする
complicate,物事を複雑にする,ものごとをふくざつにする
content,内容、中身。物事の実質的な部分や構成要素。,ないよう、なかみ。ものごとのじっしつてきなぶぶんやこうせいようそ。
devote,専念する、捧げる,せんねんする、ささげる
particular,特定の、または特に決まったもの。他と区別された個別のものや状況を示します。,とくていの、またはとくにきまったもの。ほかとくべつされたこべつのものやじょうきょうをしめします。
blow,吹く、打つ、打撃,ふく、うつ、だげき
except,～を除いて。それ以外のすべてが含まれるが、特定のものだけが除外されることを指します。,~をのぞいて。それいがいのすべてがふくまれるが、とくていのものだけがじょがいされることをさします。
underwrite,引受保証する,ひきうけほしょうする
persuasive,説得力のある,せっとくりょくのある
amber,化石樹脂の一種。,かせきじゅしのいっしゅ。
framework,フレームワーク。ソフトウェア開発やシステム構築の基盤となる枠組み。,ふれーむわーく。そふとうぇあかいはつやしすてむこうちくのきばんとなるわくぐみ。
pope,ローマカトリック教会の法王。,ろーまかとりっくきょうかいのほうおう。
tongue,言語または舌の器官。,げんごまたはしたのきかん。
public,公共の、多くの人々に属するものや、社会全体に開かれた状態を指します。,こうきょうの、おおくのひとびとにぞくするものや、しゃかいぜんたいにひらかれたじょうたいをさします。
security,安心、安全、治安。安全な状態、または安全に関する対策。,あんしん、あんぜん、ちあん。あんぜんなじょうたい、またはあんぜんにかんするたいさく。
evaluation,物事の評価を行うこと。,ものごとのひょうかをおこなうこと。
avoid,避ける、あるいは回避すること。好ましくないものや状況から遠ざかることを意味します。,さける、あるいはかいひすること。このましくないものやじょうきょうからとおざかることをいみします。
bald,禿げた、無毛の,はげた、むもうの
unexpected,予想外の出来事や結果。,よそうがいのできごとやけっか。
budget,予算、予算を組む。within budget(予算内で)、budget constraints(予算制約)など。,よさん、よさんをくむ。within budget(よさんないで)、budget constraints(よさんせいやく)など。
bend,曲げる、湾曲する。直線的なものを折り曲げること。,まげる、わんきょくする。ちょくせんてきなものをおりまげること。
explanation,説明、解説。物事の意味や理由を明らかにすること。,せつめい、かいせつ。ものごとのいみやりゆうをあきらかにすること。
confident,自信のある。自分の能力や結果に対して確信を持っていることを意味します。,じしんのある。じぶんののうりょくやけっかにたいしてかくしんをもっていることをいみします。
garment,人が着るための衣類。,にんがきるためのいるい。
moreover,さらに、その上。追加の情報や意見を導入する際に使用。,さらに、そのうえ。ついかのじょうほうやいけんをどうにゅうするさいにしよう。
inadvertently,うっかり、不注意に、無意識に。,うっかり、ふちゅういに、むいしきに。
aquarium,水族館、水槽。水生生物を飼育・展示する施設。,すいぞくかん、すいそう。すいせいせいぶつをしいく・てんじするしせつ。
equality,平等さ、均等性,びょうどうさ、きんとうせい
diversity,多様性、様々な違いの存在,たようせい、さまざまなちがいのそんざい
clothing,衣料品。衣服全般を指す。,いりょうひん。いふくぜんぱんをさす。
marketing,市場調査。製品やサービスを販売するために、市場の状況や顧客のニーズを調査すること。,しじょうちょうさ。せいひんやさーびすをはんばいするために、しじょうのじょうきょうやこきゃくのにーずをちょうさすること。
expedite,物事を迅速に進める、促進すること。,ものごとをじんそくにすすめる、そくしんすること。
independently,単独で、他に頼らず行動すること。,たんどくで、ほかにたよらずこうどうすること。
urgency,緊急性。急を要すること、緊急の事態。,きんきゅうせい。きゅうをようすること、きんきゅうのじたい。
account,説明や理由を提供すること、または銀行口座のこと。,せつめいやりゆうをていきょうすること、またはぎんこうこうざのこと。
recommendation,推薦、推奨。他者に対して良いものとして勧めること。「職務に関する recommendation」,すいせん、すいしょう。たしゃにたいしてよいものとしてすすめること。「しょくむにかんする recommendation」
