thousand,千、千の
customary,慣習的な、伝統的な
irrepressible,抑えきれない
provoke,故意に相手を怒らせたり挑発する。
blast off,発射される、打ち上げられる
up,上へ
demotion,降格
grow up,成長する
diffident,自信のない
avarice,貪欲
trim,整える、刈り込む、飾る
reduced,削減した、少なくした。
look out,気を付ける
torpedo,魚雷
underlying,基礎となる、根本的な、表面下にある。
fabrication,製作
breach,違反、破る
antigen,抗原
cheat on,でずるをする、裏切る
vote counting,開票
fall into,に属する、分類される
obedience,従順さ、服従
walk,散歩
attach,を貼り付ける、を貼る
diligence,勤勉、注意深さ
tell,伝える
life expectancy,余命、残りの寿命
dress up,着飾る
fulfill,実現する、達成する
sanction,認可、許可
nourish,栄養を与える、育てる
devotee,信者
diatribe,痛烈な非難
throw,投げる
sequence,連続、連鎖的な流れ
william,男性名、格式高い
molest,悩ます、困らせる
virtual,仮想の、仮想世界の
fetus,胎児、胎子
jot,わずか、微量
overtly,あからさまに
have a clue,手がかりがある、見当がつく
elaboration,精巧さ
clip,切る、切り取る・クリップ
seclusion,隔離、分離
new,新しい
flinch,尻込みする、躊躇する
in the past,過去に
blend,複数のものを調和よく混ぜる
got,得た
until next time,また次回まで
axe,斧、戦斧
suggested,提案した。何かを行うことを提案すること。
spoilage,腐敗、劣化、損傷
hiccup,しゃっくり
investment,投資、出資。将来の利益を期待して資金や資源を投じること。
affirmative,断定的な、肯定的な
garish,飾り立てた
raise,を上げる、持ち上げる
serviceman,軍人
bulk,大量、かさ、容積
the early bird catches the worm,早起きが成功の鍵
antidote,解毒剤、毒を中和する物質、解毒薬
not so much A as B,AというよりもむしろB
transmit A to B,AをBに伝染させる、感染させる
in parallel,並行して、並んで
sympathize,他人の感情に寄り添う。
level out,平らげる、平らにする
momentarily,瞬時に、一瞬で
visible,目で見える、明らかな、顕著な。
weapon,戦闘用の武器、兵器
farewell,別れ、さよならの挨拶。
efficacy,効能、効果
juggernaut,押し寄せる大勢力、圧倒的な力
deprive,奪う、必要なものを取ること。
the week before last,先々週
stair,階段
lobbying,ロビー活動。政策決定に影響を与えようとする働きかけ。
scaffolding,建設現場の足場、支援
scope,範囲、特定の領域や余地。
sell,を売る
measure,措置、測るもの・を測る
section,部門、特定の範囲や領域。
come away,から離れていく、遠ざかる
dominance,支配
appease,なだめる、鎮める
coalition,連立、連合体
dutiful,忠実な、従順な
temperance,節制、禁酒
reserve,予約する、取っておく、確保する。
mourn,悲しむ、死を悼む
hatch,ふ化する
implemented,実装された、導入された
miser,守銭奴、欲張り
democracy,民主主義、政治体制
impend,差し迫った
megan,女性名、若者に人気
human being,人間
imagination,想像、仮想
try to,しようとする
associate with,と関連付ける、を関連させる
envision,未来や状況を想像すること、思い描く。
statutory,法令で定められた
afflict,を苦しめる、悩ます
scornful,さげずんだ、軽蔑する
emigrant,移民、移住者
fatality,死者、災害、犠牲者
genteel,上品な、優雅な
physics,物理学、自然科学の基礎
jail,刑務所、拘置所
ear,耳
incredulous,疑い深い
spoil,台無しにする、損なう
deathbed,臨終
comb,くし
understood,理解した
give off,を放つ、放出する、発散する
refer,言及する、述べる。ある事柄について言及したり、参照したりすること。
tonight,今夜は
altar,祭壇
evergreen,常緑の
curiosity,知りたいという欲求。
ever since,それ以来、それ以降
falter,ためらう、躊躇する
set at,評価する、設置する
loiter,ぶらぶら歩く
script,脚本、原稿、文字体系
inhabit,特定の場所に住んでいる、生息する。
drink up,飲み干す、飲み尽くす
permanent,永続的な、常設の状態。
international cooperation,国際協力。国家間での協力関係や共同の取り組み。
temporarily,一時的・暫定的に
keep up,保持する、維持する
mockery,嘲り
factory,商品を大量に生産するための工場や施設。
conflict with,と相容れない、合わない
ardent,熱心な、情熱的な
heterosexual,異性愛の
medical,医療の、医学の、医薬の
exotic,異国情緒の、珍しい魅力を持つ。
to be honest,正直に言うと、実を言うと
explorers,探検家、冒険家
conductor,指揮者、導体、案内人
denigrate,侮辱する
prescription,処方箋。医師が患者に特定の薬を処方するための公式な指示書。
compared,比較された、対比された。
explanation,説明、解説。物事の意味や理由を明らかにすること。
initial,初期の、最初の。物事の始まりの段階に関すること。
accede,同意する
help with,を助ける
knock down,を取り壊す、打ち倒す
meaningful,意味のある、有意義な
shell,貝殻、貝
bankruptcy,破産、倒産
shrug,肩をすくめる、無視する
sting,鋭い痛みを伴って刺す。
hall,廊下
survival,存続 生き残ること
eternal city,永遠の都(ローマの愛称)
onslaught,猛攻撃、激しい攻撃
suspect A of B,BについてAを疑う
banter,冗談、笑い話、おどけ
typical,典型的な、あるいは標準的な。一般的に見られる特徴を備えたものを指します。
mother,母
rancor,怨恨、憎しみ
star,星、スター
differently,異なって、異なる
criminal,犯罪の、違法の
intelligence,情報の収集や理解力。
horrendous,恐ろしい
success,目標達成、良い結果
fodder,飼料、動物のエサ
doctrine,教義、信条
have an effect on,に影響を及ぼす、影響する
suicide,自殺、自死
aegis,保護
surreptitious,秘密裏の、ひそかな
be versed in,に精通している、に詳しい
weary,疲れた、疲弊した
jejune,子供っぽい、稚拙な
intruder,侵入者
squad,軍隊やグループの小分隊やチーム。
edify,啓発する
sinew,腱、筋
account for,を説明する、解説する
notorious,悪名高い、有名な
cavity,空洞、虫歯、くぼみ
ephemeral,はかない
highly,非常に高い評価を受ける。
sushi,生魚をのせたご飯
historical,歴史上の、過去の記録に関する。
without trace,跡形もなく
sludge,汚泥、泥沼
novelty,斬新さ、珍しさ
physical,物理的な、身体的な、実体のある。
bimonthly,隔月の
significantly,著しく、重要な程度で。
aquatic,水生の、水中の
preparatory,準備の
compartment,区画
cardinal,主要な、中心的な
impede,妨げる、邪魔する
plug,電気を接続すること。
slip of the tongue,失言、口を滑らせる
word,言葉
malice,悪意、敵意
applicable,適用可能な条件。
scarcely,ほとんど〜ない、まれに
place limitation on,に制限を加える、限界を与える
eagerly,熱心に、非常に興味を持って。
complicit,共犯の
fill,満たす、または埋める。容器や空間を内容物でいっぱいにすることを意味します。
at the expense of,を犠牲にして
market share,市場シェア。全体の市場における特定企業や国の占める割合。
generous,気前のよい、寛容な
defiant,反抗的な、挑戦的な
could,～できた。過去に何かをすることができた可能性を表す助動詞。
ordinary,ふつうの、いつもの
delete,を削除する、消す
revitalize,活性化させる、刺激する
quadruple,4倍の
consideration,考慮、配慮、思いやり
on the subject of,に関して、について
convention,大会、会議。特定の目的のための大規模な集まり。
inanimate,無生物の、生命のない
contaminate,を汚染する、汚す
assorted,盛り合わせの
designed,特定の目的や機能に合わせて計画・設計されたもの。
ticket,切符。入場を許可する券。
in addition,追加として、さらに
vigil,寝ずの番
Thursday,木曜日
prestige,名声、評判
direct,直接的な関与または接触。
haste,急ぐ/急ぎ
flip-flop,サンダル、パタパタ鳴る音
manipulator,操縦者
accountant,会計士、経理担当者。財務や会計を専門とする職業人。
improve,改善する、より良くする。状況や状態を向上させることを意味します。
talent,才能、特定の分野での自然な能力。
democrat,民主主義者、民主派
pretend to do,するふりをする、～だと見せかける
take out,持ち帰り
terminal,終りの、末端の
hover,空中停止する
mow,を刈る
a bit of,少量の
unearth,発掘する、掘り出す、新たに見つけ出す
ceiling,天井、上限
fastidious,気難しい
constipation,便秘
appetite,食欲、食い気
scarcity,不足、欠乏、欠如
villainous,極悪人の、悪役の
somehow,なんとかして、どういうわけか
convergence,異なる要素の接近または合流。
temporary,一時的なもので、長期間のものでない状態。
hide out,隠れる、潜伏する
distinct,明確に異なる、はっきりした
precept,戒律
highlight,重要な部分を強調・目立たせる
show off,見せびらかす、自慢する
crafty,意味:狡猾な、ずる賢い。目的達成のために策略を用いたり、抜け目なく行動する様子。
grape,ぶどう
twice,2回、二重に行うこと。
organ,臓器、器官
nothing much,大したことはない、特に何もない
great,素晴らしい、広大な
collateral,並び合った、横に並んだ
tell on,言いつける、告げ口する
jurisdiction,法的権限、または司法権。
sudden,突然の、急な
exhale,吐き出す、放出する
fool,馬鹿
particularly,特に、とりわけ
come to a halt,一旦停止する、一時的に止める
savory,塩味の
tutor,学生に教える家庭教師。
peep,のぞき見る
kinetic,運動の
aim,ねらいをつける、狙う
stir,をかき混ぜる、混ぜる
inaugurate,就任させる、開始する、創始する
as well as,〜と同様に
flatter,お世辞を言う、へつらう
samosa,スパイシーな具の揚げ餃子
even if,たとえ～だとしても、仮に～であっても
critically,重大に、危機的に
this,この
rigorous,厳格な、厳密な、徹底的な
particle,分子、微量
vindictive,執念深い
face the music,結果に直面する
big,大きい
palpable,さわれる
up to,～まで、～に至る
chapter,章、区切り
fiction,創作、フィクション。想像で作られた物語や設定。
against will,意志に反して
interior design,インテリアデザイン
confirm,を確認する。何かが正しいことを確かめること。
freeze,凍る、氷結
run out of,を使い果たす、使い尽くす
profound,深遠な、根本的な
be apt to,しがちである、する癖がある
hay,干し草、牧草
precede,先行する、先に行く
in place,決まった場所に、適切で
imperative,命令的な、指令的な
indecent,わいせつな、みだらな
maritime,海事の、海洋に関する
county,アメリカなどで州の下に位置する行政区分、郡。
convict,有罪とする、罪を宣告する
sewage,下水、排水
fall victim to,の犠牲になる、犠牲となる
creditor,お金を貸した側、債権者
enterprise,企業、事業。営利を目的とした組織や活動。
overfitting,過学習。モデルが訓練データに過度に適合してしまう現象。
fluid,流動的な、液体の
standstill,停止
province,州、地方、分野
initiative,主導権。新しいアイデアや行動を最初に提案したり実行したりする能力や行為。
street,通り
adoption,採用、受け入れ
designation,指定、選定
pioneer,開拓者、先駆者
pass out,気絶する、出ていく
hindsight,後知恵、振り返り
remission,免除、除外
matrix,母体、原盤
yolk,卵黄、黄身
unkempt,もじゃもじゃの
faculty,学部、教授陣
contrast,対比、対照、違い
juxtaposition,並置、並列
impediment,障害、障害物
clear A of B,AからBを取り除く
grail,聖杯
cash in,現金に変える、現金を投入する
profile,プロフィール情報
accommodate,収容する。人や物を適切に受け入れたり、場所を提供したりすること。
inspection,検査。状態や品質などを調べること。例 a safety inspection(安全検査)
forty,40
seventeen,17
joy,喜び、歓喜
see you later,またね
critter,生き物
creativity,創造性、独創性
conception,概念、または何かを思いつくこと。
treachery,裏切り、背信
unctuous,へつらう、おせじの
wrestle with,取っ組み合う、取り組む
remarked,何かを言ったり、指摘したこと。
claustrophobia,閉所恐怖症
interest,関心や興味を引くこと、興味。
inert,不活性の
refer to,を参照する、参考にする
flavor,味、風味、香り
catch someone's eye,目を引く
lay in,蓄える、仕入れる
speculation,推測、情報が不十分な中での考察。
itemize,項目分けする、明細化する
city hall,市庁舎
scenic,風光明媚な、景勝地の
attendee,参加者、出席者。
settlement,移住、入植、決済。
chatter,おしゃべり
compromise,妥協、譲歩、和解
subject,科目、題目。勉強する内容、または議論の対象。例 a research subject(研究テーマ)
planet,惑星、天体
snippet,切れ端
ash,灰、燃焼後の残骸。
situate,を置く、位置させる
jealous,うらやましい、嫉妬している
governor,知事、統治者
map out,綿密に計画する、詳細に計画する、地図に精密に示す
petal,花弁、花びら
keep at,を根気よく続ける、継続する
smuggler,密輸業者、密輸人、運び屋
institutional,制度の、制度上の
gladiator,闘技者、剣闘士、格闘家。
supremacy,至高、覇権
how's it going?,調子はどう？
complacent,自己満足の、独りよがりの
brief,短時間または簡潔な説明。
bounce back,持ち直す、跳ね返す
attain,目標を達成すること。
recourse,依頼
faze,心を騒がせる
combustion,燃焼、火を燃やす、酸化反応
voluptuous,官能的な
in the future,将来に
spring up,突然現れる、跳ね上がる
call it a day,終了する、仕事を切り上げる
mile-high city,高地の都市(デンバー)
vision,未来像
layman,俗人
vowel,母音
feat,偉業、功績
draw back,引き戻す、取り消す
centennial,100年祭、百年祭
nutty,木の実の多い
contingent,起こりうる、発生可能な
view,眺め、見方、を見る。あるものを見ること、またはあるものに対する意見や考え。
presumably,たぶん、おそらくの推測。
veracity,真実、正直
lurch,よろめき、ふらつき
bud,つぼみ
take,連れて行く
blame for,の責任を問う、を責める
glacier,氷河、ゆっくりと動く氷塊
in force,大挙して
instant,即座の、瞬間的な。
ripple,波紋
impromptu,即座に、すぐに
charred,黒焦げになった、焦げた
fissure,亀裂
womb,子宮、母胎
zenith,頂点
harmless,無害な、害のない
involved,関係した、複雑な
bite on,に真剣に取り組む、に噛みつく
drag out,引き出す、長引かせる
javelin,投げやり
response,反応または返答。
lastly,最後に述べること、結論として。
clap,手をたたく
synonymous,同義の
hardly ever,めったに～しない
writhe,身もだえる
neat,きちんと整理された、整然とした。
spicy,辛い
economic bloc,経済圏。経済的に結びついた国々のグループ。
when,～するとき
pull the plug,停止させる、終わらせる
reasoning,推論、論理的思考。
put together,まとめる、一緒にする
forage,飼料
robbery,強盗、強奪、窃盗
declaration,宣言、申告、表明
diplomatic crisis,外交危機。国家間の深刻な対立状況。
loss,失うこと 喪失
primate,霊長類、霊長動物
grass,草
assiduous,勤勉な
absentee ballot,不在者投票
prodigy,莫大な、巨大な
just in case,もしもの場合に備えて
made,作った。何かを作り出したことを表す動詞の過去形。
circuit,回路、巡回
xenophobia,外国人恐怖症
take it easy,ゆっくりと構える
depend,頼る。物事が他の事柄に依存している状態や、必要としていることを意味します。
viable,生存できる、生き抜く
retorted,言い返した
amphibian,両生類の
said,言った
diplomatic channels,外交ルート。国家間の正式なコミュニケーション経路を指す。
furor,激怒、怒り狂う
hole up,冬眠する、隠れる
inflation rate,インフレ率。物価上昇の度合いを示す経済指標。
entitle to,に資格を与える、認定する
fade out,消える、消えていく
pediatric,小児科の、子供の病気の
contrary,反対の、矛盾する
be affected by,の影響を受ける、影響される
extent,何かの範囲や度合い。
struggle,困難に立ち向かう努力。
brethren,義兄弟、誓いで結ばれた兄弟
naked,裸の、無防備な
blueprint,青写真、設計図
believe,信じる、確信する。I believe that...(～と思う)
delicately,繊細に、優美に
chew on,かじりつく、しゃぶり付く
brute,畜生
hold still,止まる、座る
in years,年間で、一年を通して
in the meantime,とりあえず、それまでは
mistake A for B,AをBと間違える
devour,をむさぼり食う、がつがつ食う
accomplishment,達成、成果、技能習得
retribution,報復、復讐
recover from,から回復する
hideous,恐ろしい、恐怖な
take it back,取り戻す
scene,特定の出来事の場面。
compliment,褒め言葉、称賛の表現。
naughty,わんぱくな、いたずらな
passionate,情熱的な、熱情的な
footnote,脚注
giddy,めまいがする、頭が回る
flabbergast,驚かせる、仰天させる
follow through,最後までやり遂げる、計画を遂行する
nauseous,吐き気がする
evaluation,物事の評価を行うこと。
live abroad,海外で生活する
latency,レイテンシー。システムの応答や処理にかかる時間の遅延。
stray,迷い込む
stoke,燃料をくべる、火力を増す
ratatouille,野菜の煮込み料理
get off,降りる
in spite of,にも関わらず、けれども
on a diet,ダイエット中の
sorcerer,魔術師
lick,舌でなめること、舐める動作。
day by day,日に日に
thermal,熱の、温度に関する
endow A with B,AにBを授ける
culinary arts,料理の技術や芸術
alienation,疎外、遠ざける、孤立させる
hospitality,おもてなし、歓待
put it briefly,簡単に言うと、短く言うと
fragmentation,断片化、分断
inept,不適当な
soothe,落ち着かせる、安定させる
quietly,静かに 落ち着いて
bogus,偽の、詐欺的な
stand for,を表す
marrow,骨髄、髄
sermon,説教、説法
top off,仕上げをする、終える
tidy up,片付ける
allowance,定期的に支給される手当。
blizzard,猛吹雪
pop in,飛び込む、飛び入る
modulate,調整する、微調整する、整合する
property,財産、所有物、特性。
recede,退く
trademark,商標、特徴
peddler,行商人
unavailable,利用できない、または手が届かない。
exposure,露出、暴露、経験
picket,くい、柵
gratitude,他者の親切や恩恵に対する感謝の気持ち。
make sure,を確かめる、必ず手配する
noticeable,目立つ、顕著な。
scheme,計画、構想、策略。
propulsion,推進
substantially,大部分は、実質的に大いに。
gratify,を満足させる
dispose of,を処分する
tribe,部族、同じ文化を持つ集団
meddle,お節介を焼く
explicit,はっきりと明示された、具体的な。
profit,利益、もうけ。収入から経費を差し引いた純粋な収益を指します。
plaza,大広場、広場
cliche,決まり文句、決まった言葉
popular,広く認知されていることや、好まれている状態。多くの人々に支持されているものを意味します。
din,騒音、喧噪
wear off,擦り切れる、摩耗する、徐々に減る、少なくなる
ironically,皮肉なことに、期待と逆に。
senate,上院、上院議会
confetti,紙吹雪
phonetic,音声の
currently,現在の時点で、または今のところ。
destitute,貧困の、困窮した
plenary,最大限の、完全な
disaster,災害。自然現象や人為的な要因による大きな被害や損失を引き起こす出来事を指します。
loyalty,忠実、誠実な心、忠誠心
journal,雑誌、日記、専門誌
undoubtedly,確実にそうである。
import,輸入、輸入する。外国から製品などを持ち込むこと。
spiritually,精神的に、心の中で
live up to,に従って動く、期待に答える
denunciation,非難
tavern,居酒屋
intermission,休憩時間、幕間
entirely,完全に、全面的に
statistical,統計的な、数値に基づく。
deteriorate,を悪化させる
induce,誘発する
constant,絶え間なく続く。常に変わらない、継続的な。
at the outset,最初に、初めは
uncanny,不気味な
shoelace,靴ひも
wanton,理由のない、多情な
bough,大きな枝
occasion,特定の時、行事、祭典
leach,ろ過する、濾す
be liable to,責任がある、責任を持つ
density,密度、濃さ、混み具合
hurtle,急いで行く、急ぐ
convenient,便利な。使いやすく、アクセスしやすい、または時間や労力を節約できる特性。
opposed,反対の、対立する
bookstore,本屋
ruthlessly,冷酷に、冷徹に
load,積み荷、運ぶもの。
rip,を裂く、破る
jeer,冷やかす
crimson,真紅の
horribly,恐ろしく、怖いほど
do A harm,Aに害を及ぼす、傷つける
accolade,栄誉
run off,流出する、逃げる
handicraft,手工芸、手で作る技術や作品。
witness,事件などの目撃者、証言する
guided tour,ガイド付きツアー
sum of,合計の
establish,設立する、確立する。新しい組織や制度を作り上げること。
stir-fry,炒め物
eruption,噴火、爆発
write down,書く
eternal,永遠の、時間を超越した存在。
virtuoso,名人、達人
reprieve,猶予する
conspire,陰謀を企てる
convict of,で有罪判決とする、有罪を宣告する
trait,生まれつきの特性、性質
little by little,少しずつ
depression,不況、憂鬱、落ち込み
candid,率直な、正直な
bureaucratic,官僚的な、形式的な
advantage,利点、有利な点。他よりも好条件にある点や、状況を有利に進められる要素です。
subscribe,購読する、申し込む、同意する。
itch,かゆみ、そう痒
spec,仕様、規格
outsider,ある集団やコミュニティに属さない部外者。
eulogy,賛辞
hat,帽子
in turn,順番に、順次
arranged,手配された、整えられた。
accuracy,正確さ、精密
strangely,不思議なことに、奇妙に
insurgent,暴動を起こした、乱れた
think better of,よく考える、見直す
electoral district,選挙区
outstanding,傑出した、未払いの。非常に優れている、または支払いや解決が済んでいない状態。
blight,疫病、感染症
diet,食事、食事療法
tableware,食事に使用する器具。
settle up,を支払う、清算する
yearn,切望する、強く望む
intricacy,複雑さ
colossal,巨大な、途方もなく大きい
seek,求めて探す行為。
uproar,大騒ぎ
stint,切り詰める、節約する
qualification,資格、認定、適格性
in demand,需要のある、求められる
urbane,洗練された
diaphanous,透明な、薄っぺらい
pollute,汚染する、汚す
sin,罪
combination,組み合わせ、結合
for example,例えば、たとえ〜としても
nineteen,19
step down,辞任する。特に高位の役職者が自ら職を退くときに使用。
drug,麻薬、薬
vocabulary,語彙の集合体。
at fault,落ち度がある、咎められるべき
take a rest,休憩する
cryptic,秘密の
immature,未熟な、円熟な
worsen,状況をさらに悪化させる。
apology,謝罪、何かの過ちに対する謝意。
eviction,立ち退き、明け渡し
stigmatize,汚名を着せる
rabid,狂った、狂気の
calumny,誹謗、中傷
be in for,に直面しそうな、に参加する
incendiary,放火の、火災を引き起こす
plunge into,飛び込む、突進する
rouse,目を覚まさせる
majority,過半数、大多数
undergo,経験する。特定の過程や変化、困難な状況を通過したり体験したりすること。
mystic,神秘的な、不可解な
lathe,旋盤
bread,パン
graduation,卒業
derisive,嘲笑的な
moderation,節度、節制
sure,確信して。確信を持っていることを表す。
stained,汚れた
pick through,を探る、選りすぐる
be indebted to,に負債がある、恩義がある
opulence,富裕、豊かさ
watch out for,用心する
recurring,繰り返し、再三
regional,特定の地域に関するもの。
ignominious,恥ずべき、不名誉な
scenery,風景
introspective,内省的な、反省的な
crackdown,取り締まり、監視
slay,を殺害する、計画的に殺す
shelter,避難所
identical,全く同じ、区別がない。
hollow,空洞のある、中が空の
innuendo,暗示
uterus,子宮
succumb to,に負ける、で死ぬ
tribunal,裁判所
bemoan,嘆く、嘆き悲しむ
grain,穀物、粒、木目
verification,確認、検証、立証
tenancy,借地権
prostrate,腹ばいになった
adapt oneself to,に適応する
indicate,を示す。何かの存在や状態を明示する、または表現することを意味します。
thrift,倹約、節約
defend,を守る、保護する
hand out,配布する、分け与える
rule of thumb,親指で計測すること、大雑把な方法
baggage,荷物、手荷物。
you reap what you sow,因果応報
rapture,有頂天、大喜び
importantly,重要な点を強調して。
heinous,凶悪な
interval,間隔、合い間
be good at,～が上手である
whiff,ほのかな匂い、薄い香り
diameter,直径
prudent,慎重な、分別のある
ring out,退出時間を記録する、鳴り響く
at any cost,どんな犠牲を払っても、何がなんでも
tragedy,悲劇、悲惨な出来事
academically,学問的に、知識的に
realistic,現実的な、実現可能な。
gird,締める
owing,～のおかげで、～のために、～するべきで
gaze at,を見つめている、をじっと見ている
acknowledge,認める。事実や状況を公式に認識したり、受け入れたりすること。
costly,高価な、費用のかかる
buzz,ざわめく
versatile,多目的な、器用な、適応力のある
irritate,イライラさせる、怒らせる
initiate,新しい活動や計画を始める
prolong,を延長する、延ばす
sympathy,同情、他者の感情に寄り添うこと。
how about,はどうですか？
well,健康な
well off,裕福な、富裕な
inundate,水浸しにする、水没させる
loud and clear,はっきりと、明確に
aquarium,水族館、水槽。水生生物を飼育・展示する施設。
revile,悪口を言う、中傷する、非難する
ceremonial,儀式的な、形式を重んじる
molecular,分子の、微小な
rare,まれな、珍しい
be deep in thought,物思いにふけっている
scrape,を削り取る
flush,流す
on your left,左側に
virtue,美徳、道徳的価値
no wonder,なるほど
sink in,浸透する、理解される
swamp,沼地、湿地
brutal,残忍な、無慈悲な、野蛮な
skin,人や動物の体を覆う組織
biological,生物学上の、生物的な
forte,十八番
veritable,真実の、本当の
intolerance,不寛容、偏見
penetrate,を貫く、に入り込む
patrician,貴族、貴人
compassion,思いやり、同情
aware,知っている、認識している、気づいている。
prenatal,出生前の
homemade dish,家庭料理
manner,やり方、方法
vigilante,自警団員
wash out,洗い流す、洗い落とす
admiral,提督、司令官
furthermore,さらに加えて、その上
time flies,光陰矢のごとし
carry on,続ける
allow for,を考慮に入れる、余裕を持つ
integrate A into B,AをBに統合する、AをBに併合する、AをBに結合する
ask A out,Aを誘い出す、Aをデートに誘う
remain,とどまる、残る。変わらず同じ状態に留まること、または去らないことを意味します。
saving,お金の貯蓄行為。
forsake,を見捨てる、突き放す
slam,強く閉める
keep up on,の最新状況を把握する、追いつく
miltary service,兵役、兵役の義務
belly,お腹、腹部
mexican,メキシコの、メキシコ系の
nag,小言を言う
multitude,大勢、多く
literary,文学の、文学的表現の
the lion's share,最大の分け前、大きすぎる分け前
calligraphy,書道
diversify,多様化する、事業を分散する
hull,外皮、船体
swagger,いばって歩く、得意げに歩く
sacrilegious,罰当たりの
unusually,異常に、めったにないほど
on and on,延々と
post,投稿すること
counter,対抗する、反論する、カウンター
exam,試験
countless,数え切れないほどの、非常に多くの。
lots of,たくさんの
try,試す
earthquake,地震。地下の断層や火山活動により引き起こされる地殻の揺れを指します。
in the midst of,の真っただ中、する中で
banana,バナナ
preliminary,予備的な、予備の
in effect,効果のある、効いている
cistern,貯水槽
moratorium,猶予
masculinity,男らしさ、男性らしさ
from A to B,AからBまで
spree,酒宴
observe,観察する、見守る、遵守する。
speculator,相場での利益を狙う投機家
misunderstand,意味を取り違える、勘違いすること。
better late than never,遅れてもやらないより良い
physically,肉体的に、身体的に
contemplative,瞑想的な、沈思黙考の
compulsion,脅迫、強制
artifice,巧みさ、狡猾
realtor,不動産業者、土地や建物の売買を仲介する人
hand,手
totter,よろめく
provider,サービスや商品を供給。
mentoring,助言や指導を行うこと。
thief,泥棒
beware of,注意する、気を付ける
incorrigible,非常に悪い、改善できない
dice,小さく切る
moreover,さらに、その上。追加の情報や意見を導入する際に使用。
latent,潜在している、隠れている
camaraderie,仲間意識
that,あれ
bluster,大ぼらを吹く、威嚇する
hard,一生懸命に
launder,洗濯する、洗う
